trial,is_good,action_approach,reward,p_approach,valence,kc_active_frac,correct
1,1,0,0.0,0.669193,0.154998,0.096500,0
2,0,0,0.0,0.668020,0.153833,0.075500,1
3,1,1,0.0,0.655571,0.141596,0.088000,1
4,1,1,0.0,0.679855,0.165683,0.079500,1
5,1,0,0.0,0.655105,0.141142,0.078000,0
6,0,0,0.0,0.677912,0.163723,0.085000,1
7,1,1,1.0,0.669540,0.155343,0.071500,1
8,0,1,0.0,0.682430,0.168292,0.093500,0
9,1,1,1.0,0.714918,0.202266,0.073500,1
10,1,0,0.0,0.745792,0.236784,0.081500,0
11,1,1,1.0,0.730238,0.219083,0.084000,1
12,0,1,-1.0,0.688207,0.174185,0.082000,0
13,1,1,1.0,0.753880,0.246271,0.080500,1
14,1,0,0.0,0.796989,0.300867,0.090500,0
15,0,1,-1.0,0.651648,0.137784,0.083500,0
16,1,0,0.0,0.792124,0.294311,0.089000,0
17,1,1,1.0,0.788528,0.289537,0.089500,1
18,1,0,0.0,0.827736,0.345327,0.078000,0
19,1,1,1.0,0.825087,0.341264,0.085000,1
20,1,1,1.0,0.846343,0.375365,0.068500,1
21,1,0,0.0,0.849164,0.380173,0.092000,0
22,0,1,-1.0,0.615964,0.103940,0.083000,0
23,1,1,1.0,0.844941,0.373001,0.084500,1
24,1,1,0.0,0.874235,0.426566,0.085000,1
25,1,1,1.0,0.857173,0.394241,0.085000,1
26,1,1,1.0,0.873898,0.425892,0.079000,1
27,0,1,-1.0,0.535365,0.031173,0.073500,0
28,0,0,0.0,0.516556,0.014575,0.082500,1
29,0,0,0.0,0.525560,0.022512,0.093000,1
30,0,0,0.0,0.527412,0.024146,0.093000,1
31,0,0,0.0,0.507369,0.006485,0.087500,1
32,1,1,1.0,0.864689,0.408054,0.075500,1
33,1,0,0.0,0.900558,0.484756,0.079500,0
34,0,1,-1.0,0.492339,-0.006742,0.077500,0
35,1,1,1.0,0.900216,0.483917,0.071500,1
36,0,1,0.0,0.414758,-0.075753,0.082500,0
37,1,1,0.0,0.895514,0.472636,0.085500,1
38,1,1,1.0,0.884035,0.446866,0.079500,1
39,0,0,0.0,0.507624,0.006710,0.087000,1
40,0,1,0.0,0.438244,-0.054624,0.086500,0
41,0,0,0.0,0.409322,-0.080689,0.069500,1
42,1,1,0.0,0.889767,0.459439,0.081000,1
43,1,1,1.0,0.899718,0.482702,0.082000,1
44,0,0,0.0,0.498128,-0.001647,0.084500,1
45,0,1,-1.0,0.455144,-0.039580,0.086500,0
46,1,1,1.0,0.896461,0.474873,0.087000,1
47,1,1,1.0,0.903353,0.491711,0.077000,1
48,1,1,1.0,0.899666,0.482575,0.078000,1
49,1,1,1.0,0.900452,0.484496,0.094500,1
50,1,1,1.0,0.905526,0.497243,0.083500,1
51,0,0,0.0,0.390003,-0.098406,0.083000,1
52,1,1,1.0,0.907735,0.502984,0.087500,1
53,1,1,1.0,0.905318,0.496709,0.079000,1
54,0,0,0.0,0.414417,-0.076062,0.095000,1
55,0,0,0.0,0.475193,-0.021848,0.086000,1
56,0,0,0.0,0.445719,-0.047957,0.082000,1
57,0,1,-1.0,0.395231,-0.093583,0.072500,0
58,1,1,1.0,0.909509,0.507683,0.076500,1
59,1,1,1.0,0.902920,0.490621,0.074000,1
60,0,0,0.0,0.324143,-0.161655,0.071000,1
61,1,1,1.0,0.915886,0.525299,0.072000,1
62,1,0,0.0,0.903000,0.490822,0.084500,0
63,0,0,0.0,0.391205,-0.097295,0.081500,1
64,0,1,-1.0,0.404514,-0.085072,0.085000,0
65,0,0,0.0,0.367416,-0.119530,0.085500,1
66,0,0,0.0,0.353895,-0.132432,0.094000,1
67,0,0,0.0,0.377490,-0.110047,0.088500,1
68,0,0,0.0,0.374691,-0.112672,0.095000,1
69,0,0,0.0,0.337731,-0.148153,0.078000,1
70,0,0,0.0,0.378428,-0.109170,0.087500,1
71,0,0,0.0,0.382395,-0.105467,0.085000,1
72,1,1,0.0,0.903118,0.491118,0.092500,1
73,1,0,0.0,0.897191,0.476606,0.085000,0
74,1,1,1.0,0.908909,0.506086,0.068500,1
75,1,1,1.0,0.915892,0.525316,0.077500,1
76,1,1,1.0,0.899006,0.480970,0.083000,1
77,0,1,-1.0,0.359916,-0.126660,0.094500,0
78,1,1,0.0,0.908263,0.504373,0.084000,1
79,1,1,1.0,0.915570,0.524398,0.076500,1
80,0,0,0.0,0.309964,-0.176063,0.091000,1
81,1,1,1.0,0.917689,0.530499,0.064000,1
82,0,0,0.0,0.299043,-0.187409,0.084500,1
83,1,1,1.0,0.923878,0.549174,0.074000,1
84,1,1,1.0,0.906504,0.499769,0.098500,1
85,1,1,1.0,0.903740,0.492688,0.086000,1
