trial,is_good,action_approach,reward,p_approach,valence,kc_active_frac,correct
129,0,0,0.0,0.204763,-0.298493,0.087500,1
130,1,1,1.0,0.824476,0.340334,0.095500,1
131,1,1,1.0,0.838746,0.362763,0.088500,1
132,1,1,1.0,0.842422,0.368799,0.080500,1
133,0,0,0.0,0.195695,-0.310953,0.067000,1
134,1,1,1.0,0.829745,0.348440,0.093500,1
135,1,0,0.0,0.850913,0.383192,0.083500,0
136,0,1,-1.0,0.172037,-0.345677,0.079500,0
137,1,1,1.0,0.848928,0.379768,0.094000,1
138,1,1,1.0,0.855286,0.390869,0.076000,1
139,0,0,0.0,0.234908,-0.259776,0.092000,1
140,1,1,1.0,0.851737,0.384624,0.087000,1
141,0,0,0.0,0.261412,-0.228501,0.088500,1
142,0,1,-1.0,0.319844,-0.165987,0.071000,0
143,1,0,0.0,0.848045,0.378257,0.088500,0
144,1,1,1.0,0.838563,0.362466,0.082500,1
145,1,1,1.0,0.851747,0.384641,0.079000,1
146,0,0,0.0,0.251384,-0.240074,0.088000,1
147,0,1,-1.0,0.162729,-0.360373,0.065000,0
148,1,1,1.0,0.833654,0.354585,0.084000,1
149,0,0,0.0,0.200510,-0.304284,0.082500,1
150,1,1,1.0,0.864029,0.406816,0.076000,1
151,1,1,1.0,0.860895,0.401004,0.078500,1
152,1,1,0.0,0.839040,0.363243,0.094000,1
153,0,0,0.0,0.189946,-0.319079,0.075000,1
154,1,0,0.0,0.855596,0.391420,0.087500,0
155,1,0,0.0,0.853128,0.387057,0.090500,0
156,0,0,0.0,0.241323,-0.251997,0.081500,1
157,0,0,0.0,0.216645,-0.282772,0.082500,1
158,0,1,-1.0,0.246348,-0.246001,0.077000,0
159,0,0,0.0,0.181351,-0.331589,0.068500,1
160,0,0,0.0,0.201342,-0.303144,0.091000,1
161,1,1,1.0,0.854504,0.389482,0.094000,1
162,0,0,0.0,0.188459,-0.321212,0.088500,1
163,0,0,0.0,0.185959,-0.324827,0.087500,1
164,0,1,-1.0,0.168857,-0.350625,0.069000,0
165,0,1,-1.0,0.169447,-0.349701,0.080500,0
166,1,1,1.0,0.844435,0.372152,0.094000,1
167,0,0,0.0,0.172469,-0.345010,0.088000,1
168,1,1,1.0,0.848639,0.379273,0.076500,1
169,0,0,0.0,0.153195,-0.376146,0.068500,1
170,1,1,1.0,0.851864,0.384844,0.084500,1
171,1,0,0.0,0.854926,0.390230,0.085500,0
172,1,1,1.0,0.835014,0.356749,0.085500,1
173,1,0,0.0,0.828815,0.346996,0.086000,0
174,0,1,0.0,0.205443,-0.297576,0.080500,0
175,1,1,1.0,0.841160,0.366714,0.085500,1
176,0,0,0.0,0.158976,-0.366491,0.080000,1
177,1,0,0.0,0.857318,0.394502,0.090000,0
178,0,0,0.0,0.209234,-0.292500,0.074000,1
