delay_ms,cond,trial,match,resp_match,fam_probe
0,0,0,1,1,0.9983
0,0,1,0,1,0.9962
0,0,2,0,1,0.9977
0,0,3,1,1,0.9984
0,0,4,1,1,0.9977
0,0,5,0,1,0.9959
0,0,6,0,1,0.9970
0,0,7,1,1,0.9978
0,0,8,0,1,0.9963
0,0,9,0,1,0.9963
0,0,10,1,1,0.9979
0,0,11,1,1,0.9985
0,0,12,0,1,0.9955
0,0,13,0,1,0.9968
0,0,14,0,1,0.9949
0,0,15,0,1,0.9958
0,0,16,0,1,0.9960
0,0,17,1,1,0.9985
0,0,18,0,1,0.9960
0,0,19,1,1,0.9970
0,1,0,1,1,0.9964
0,1,1,0,1,0.9961
0,1,2,1,1,0.9967
0,1,3,1,1,0.9977
0,1,4,0,1,0.9971
0,1,5,0,1,0.9978
0,1,6,1,1,0.9989
0,1,7,1,1,0.9979
0,1,8,1,1,0.9980
0,1,9,1,1,0.9986
0,1,10,1,1,0.9975
0,1,11,0,1,0.9953
0,1,12,1,1,0.9979
0,1,13,1,1,0.9984
0,1,14,0,1,0.9970
0,1,15,1,1,0.9977
0,1,16,0,1,0.9973
0,1,17,0,1,0.9975
0,1,18,1,1,0.9980
0,1,19,1,1,0.9983
0,2,0,0,1,0.9969
0,2,1,1,1,0.9971
0,2,2,1,1,0.9967
0,2,3,1,1,0.9983
0,2,4,1,1,0.9981
0,2,5,1,1,0.9975
0,2,6,1,1,0.9977
0,2,7,0,1,0.9964
0,2,8,1,1,0.9980
0,2,9,0,1,0.9952
0,2,10,0,1,0.9957
0,2,11,1,1,0.9978
0,2,12,1,1,0.9988
0,2,13,0,1,0.9971
0,2,14,1,1,0.9969
0,2,15,1,1,0.9978
0,2,16,1,1,0.9978
0,2,17,0,1,0.9968
0,2,18,0,1,0.9970
0,2,19,1,1,0.9982
1000,0,0,1,1,0.9955
1000,0,1,0,1,0.9976
1000,0,2,0,1,0.9973
1000,0,3,0,1,0.9972
1000,0,4,1,1,0.9955
1000,0,5,1,1,0.9981
1000,0,6,1,1,0.9954
1000,0,7,0,1,0.9963
1000,0,8,1,1,0.9976
1000,0,9,1,1,0.9967
1000,0,10,1,1,0.9962
1000,0,11,0,1,0.9963
1000,0,12,1,1,0.9957
1000,0,13,0,1,0.9968
1000,0,14,0,1,0.9979
1000,0,15,0,1,0.9973
1000,0,16,0,1,0.9959
1000,0,17,1,1,0.9972
1000,0,18,0,1,0.9983
1000,0,19,1,1,0.9953
1000,1,0,0,1,0.9976
1000,1,1,0,1,0.9975
1000,1,2,1,1,0.9961
1000,1,3,0,1,0.9971
1000,1,4,0,1,0.9971
1000,1,5,0,1,0.9968
1000,1,6,1,1,0.9968
1000,1,7,0,1,0.9975
1000,1,8,1,1,0.9958
1000,1,9,0,1,0.9969
1000,1,10,1,1,0.9974
1000,1,11,1,1,0.9976
1000,1,12,0,1,0.9973
1000,1,13,1,1,0.9959
1000,1,14,1,1,0.9953
1000,1,15,0,1,0.9965
1000,1,16,0,1,0.9978
1000,1,17,1,1,0.9968
1000,1,18,0,1,0.9970
1000,1,19,0,1,0.9971
1000,2,0,0,1,0.9976
1000,2,1,0,1,0.9976
1000,2,2,1,1,0.9967
1000,2,3,1,1,0.9975
1000,2,4,0,1,0.9964
1000,2,5,0,1,0.9973
1000,2,6,1,1,0.9967
1000,2,7,1,1,0.9958
1000,2,8,1,1,0.9956
1000,2,9,1,1,0.9968
1000,2,10,1,1,0.9966
1000,2,11,1,1,0.9970
1000,2,12,0,1,0.9976
1000,2,13,1,1,0.9969
1000,2,14,0,1,0.9979
1000,2,15,1,1,0.9973
1000,2,16,0,1,0.9975
1000,2,17,1,1,0.9978
1000,2,18,1,1,0.9968
1000,2,19,1,1,0.9966
2000,0,0,0,1,0.9977
