trial,is_good,action_approach,reward,p_approach,valence,kc_active_frac,correct
133,1,0,0.0,0.790168,0.291706,0.080500,0
134,1,1,1.0,0.780235,0.278747,0.081500,1
135,0,0,0.0,0.257773,-0.232667,0.079500,1
136,1,1,1.0,0.796943,0.300805,0.080500,1
137,1,0,0.0,0.828558,0.346597,0.080500,0
138,0,0,0.0,0.189152,-0.320217,0.081500,1
139,0,0,0.0,0.204475,-0.298882,0.083000,1
140,1,1,1.0,0.822765,0.337743,0.076500,1
141,1,0,0.0,0.810451,0.319648,0.079000,0
142,0,0,0.0,0.284862,-0.202503,0.071500,1
143,1,1,1.0,0.810090,0.319131,0.067000,1
144,0,0,0.0,0.335517,-0.150334,0.080500,1
145,0,0,0.0,0.234831,-0.259871,0.080000,1
146,1,1,1.0,0.815605,0.327107,0.085000,1
147,1,1,1.0,0.840374,0.365423,0.071500,1
148,1,1,1.0,0.833755,0.354746,0.077500,1
149,0,1,-1.0,0.249389,-0.242413,0.074500,0
150,0,1,-1.0,0.209680,-0.291908,0.072500,0
151,1,1,1.0,0.789988,0.291468,0.083000,1
152,1,1,1.0,0.843504,0.370597,0.072000,1
153,1,1,1.0,0.840200,0.365137,0.065000,1
154,0,0,0.0,0.229430,-0.266538,0.082500,1
155,0,1,-1.0,0.244030,-0.248757,0.085500,0
156,1,1,1.0,0.818688,0.331647,0.075500,1
157,1,1,1.0,0.831217,0.350742,0.068500,1
158,1,1,1.0,0.820711,0.334657,0.080500,1
159,1,0,0.0,0.848133,0.378407,0.075000,0
160,1,1,1.0,0.840982,0.366422,0.076000,1
161,0,0,0.0,0.253867,-0.237181,0.095000,1
162,0,0,0.0,0.261157,-0.228792,0.079500,1
163,0,0,0.0,0.339537,-0.146379,0.084000,1
164,0,0,0.0,0.233372,-0.261661,0.077500,1
165,1,0,0.0,0.828177,0.346007,0.072500,0
166,0,1,-1.0,0.303794,-0.182445,0.083500,0
167,0,0,0.0,0.218914,-0.279841,0.072000,1
168,0,1,-1.0,0.213268,-0.287174,0.083500,0
169,0,0,0.0,0.188821,-0.320692,0.076500,1
170,0,0,0.0,0.267351,-0.221783,0.080500,1
171,0,0,0.0,0.165064,-0.356624,0.092500,1
172,1,1,1.0,0.786029,0.286254,0.080500,1
173,1,1,1.0,0.840643,0.365865,0.073500,1
174,0,0,0.0,0.191999,-0.316156,0.089000,1
175,1,1,1.0,0.823119,0.338276,0.080500,1
176,0,0,0.0,0.204361,-0.299037,0.078000,1
177,0,1,-1.0,0.223551,-0.273920,0.083000,0
178,1,1,1.0,0.815091,0.326356,0.077500,1
179,0,0,0.0,0.177301,-0.337644,0.070000,1
180,1,0,0.0,0.833058,0.353641,0.078000,0
181,0,0,0.0,0.236311,-0.258063,0.076000,1
182,1,1,1.0,0.833761,0.354755,0.071000,1
183,1,0,0.0,0.839715,0.364343,0.070000,0
184,1,1,1.0,0.831088,0.350538,0.072000,1
185,0,0,0.0,0.230261,-0.265504,0.081500,1
186,0,0,0.0,0.194255,-0.312970,0.076000,1
187,1,1,1.0,0.845974,0.374741,0.070000,1
188,1,1,1.0,0.834279,0.355578,0.064500,1
189,1,0,0.0,0.845596,0.374103,0.075500,0
190,1,1,1.0,0.849968,0.381557,0.072500,1
191,0,0,0.0,0.259359,-0.230847,0.082500,1
192,1,1,1.0,0.837805,0.361237,0.073000,1
193,0,0,0.0,0.242084,-0.251084,0.083500,1
194,0,0,0.0,0.232153,-0.263162,0.085500,1
195,1,1,0.0,0.844879,0.372898,0.070500,1
196,1,0,0.0,0.835605,0.357695,0.084000,0
197,1,1,1.0,0.842886,0.369569,0.073500,1
198,1,1,1.0,0.854366,0.389238,0.076500,1
199,0,0,0.0,0.320356,-0.165470,0.090000,1
200,1,1,1.0,0.856257,0.392600,0.076000,1
