trial,is_good,action_approach,reward,p_approach,valence,kc_active_frac,correct
144,1,1,0.0,1.000000,10.333333,0.078000,1
145,1,1,1.0,1.000000,10.000000,0.077500,1
146,0,0,0.0,0.000000,-2.166667,0.077500,1
147,0,0,0.0,0.000000,-3.166667,0.087500,1
148,1,1,1.0,1.000000,10.166667,0.067000,1
149,1,1,0.0,1.000000,9.666667,0.081500,1
150,0,0,0.0,0.000000,-2.666667,0.078500,1
151,1,1,1.0,1.000000,7.666667,0.079500,1
152,1,1,1.0,1.000000,6.166667,0.078000,1
153,0,0,0.0,0.000000,-0.833333,0.087500,1
154,1,1,0.0,1.000000,7.166667,0.077500,1
155,0,0,0.0,0.000000,-2.833333,0.087500,1
156,0,0,0.0,0.000000,-1.166667,0.083000,1
157,1,1,1.0,1.000000,6.833333,0.076000,1
158,0,0,0.0,0.000000,-2.666667,0.074000,1
159,1,1,1.0,1.000000,6.666667,0.080000,1
160,1,1,0.0,1.000000,7.333333,0.079000,1
161,1,1,1.0,1.000000,7.166667,0.087000,1
162,1,1,1.0,1.000000,7.000000,0.077500,1
163,1,1,1.0,1.000000,7.000000,0.073500,1
164,0,0,0.0,0.000000,-2.500000,0.073500,1
165,1,1,1.0,1.000000,6.000000,0.089000,1
166,1,1,1.0,1.000000,6.833333,0.072000,1
167,1,1,1.0,1.000000,6.166667,0.090000,1
168,0,0,0.0,0.000000,-0.500000,0.081500,1
169,1,1,1.0,1.000000,6.500000,0.072000,1
170,0,0,0.0,0.000000,-0.166667,0.087500,1
171,0,0,0.0,0.000000,-1.333333,0.062500,1
172,0,0,0.0,0.000000,-2.166667,0.085500,1
173,0,0,0.0,0.000000,-2.333333,0.075500,1
174,1,1,1.0,1.000000,7.500000,0.065500,1
175,0,0,0.0,0.000000,-3.666667,0.076500,1
176,0,0,0.0,0.000000,-0.166667,0.077000,1
177,1,1,1.0,1.000000,6.500000,0.072500,1
178,0,0,0.0,0.000000,-4.333333,0.082000,1
179,0,0,0.0,0.000000,-3.833333,0.085500,1
180,1,1,1.0,1.000000,10.333333,0.084000,1
181,1,1,1.0,1.000000,9.666667,0.086500,1
182,1,1,1.0,1.000000,9.666667,0.078500,1
183,1,1,1.0,1.000000,10.000000,0.073500,1
184,0,0,0.0,0.000000,-0.666667,0.069000,1
185,0,0,0.0,0.000000,-2.666667,0.086000,1
186,1,1,1.0,1.000000,10.333333,0.082500,1
187,1,1,1.0,1.000000,10.333333,0.072500,1
188,1,1,1.0,1.000000,10.833333,0.076500,1
189,1,1,0.0,1.000000,10.333333,0.075500,1
190,0,0,0.0,0.000000,-4.333333,0.084500,1
191,0,0,0.0,0.000000,-3.333333,0.079000,1
192,1,1,0.0,1.000000,10.666667,0.073000,1
193,0,0,0.0,0.000000,-2.666667,0.083000,1
194,1,1,1.0,1.000000,9.500000,0.074500,1
195,1,1,1.0,1.000000,9.500000,0.084000,1
196,1,1,1.0,1.000000,10.333333,0.072000,1
197,1,1,1.0,1.000000,10.833333,0.075000,1
198,1,1,1.0,1.000000,9.833333,0.082000,1
199,1,1,1.0,1.000000,10.333333,0.071000,1
200,1,1,1.0,1.000000,10.166667,0.079500,1
