trial,is_good,action_approach,reward,p_approach,valence,kc_active_frac,correct
122,1,1,1.0,0.844184,0.371733,0.092500,1
123,0,0,0.0,0.172098,-0.345583,0.086000,1
124,0,0,0.0,0.188836,-0.320670,0.075500,1
125,1,1,1.0,0.836151,0.358571,0.085000,1
126,0,0,0.0,0.200715,-0.304004,0.083000,1
127,0,0,0.0,0.195146,-0.311721,0.075000,1
128,1,1,1.0,0.845804,0.374454,0.073500,1
129,0,0,0.0,0.293104,-0.193679,0.104000,1
130,0,0,0.0,0.267971,-0.221087,0.095000,1
131,1,1,0.0,0.864571,0.407834,0.068000,1
132,0,1,0.0,0.238799,-0.255040,0.079500,0
133,0,0,0.0,0.187704,-0.322299,0.079500,1
134,0,0,0.0,0.209044,-0.292753,0.085000,1
135,0,1,-1.0,0.238575,-0.255311,0.081000,0
136,0,0,0.0,0.214026,-0.286182,0.085000,1
137,0,0,0.0,0.191222,-0.317260,0.090500,1
138,0,0,0.0,0.158232,-0.367717,0.078500,1
139,0,1,0.0,0.244563,-0.248121,0.078500,0
140,0,1,-1.0,0.249965,-0.241736,0.092000,0
141,1,0,0.0,0.789623,0.290985,0.091500,0
142,1,1,1.0,0.837941,0.361458,0.079000,1
143,0,0,0.0,0.176341,-0.339094,0.083500,1
144,0,0,0.0,0.159989,-0.364829,0.081500,1
145,1,1,1.0,0.844877,0.372894,0.091000,1
146,0,1,-1.0,0.219693,-0.278840,0.087000,0
147,1,1,1.0,0.832739,0.353136,0.077500,1
148,1,0,0.0,0.824035,0.339664,0.088500,0
149,0,0,0.0,0.149068,-0.383225,0.067000,1
150,0,0,0.0,0.140084,-0.399210,0.072500,1
151,0,0,0.0,0.215280,-0.284546,0.074500,1
152,0,0,0.0,0.176261,-0.339215,0.082000,1
153,0,1,-1.0,0.190109,-0.318846,0.079000,0
154,1,0,0.0,0.839559,0.364089,0.085500,0
155,0,0,0.0,0.192047,-0.316087,0.074000,1
156,0,0,0.0,0.156767,-0.370146,0.075000,1
157,0,1,-1.0,0.153777,-0.375162,0.080500,0
158,1,1,1.0,0.820598,0.334489,0.077500,1
159,1,0,0.0,0.830732,0.349981,0.084500,0
160,0,0,0.0,0.139413,-0.400439,0.076500,1
161,0,0,0.0,0.164275,-0.357887,0.083000,1
162,1,1,0.0,0.829792,0.348514,0.089000,1
163,0,0,0.0,0.164784,-0.357072,0.085500,1
164,1,1,1.0,0.845597,0.374105,0.068000,1
165,0,0,0.0,0.151224,-0.379508,0.076500,1
166,0,0,0.0,0.197369,-0.308620,0.090000,1
167,1,1,1.0,0.834305,0.355619,0.087000,1
168,1,0,0.0,0.846171,0.375073,0.094000,0
169,0,0,0.0,0.152920,-0.376614,0.085500,1
170,0,0,0.0,0.188066,-0.321777,0.084000,1
171,1,1,1.0,0.836163,0.358588,0.084500,1
172,1,1,1.0,0.845036,0.373161,0.083500,1
173,0,1,-1.0,0.178780,-0.335419,0.096000,0
174,0,1,-1.0,0.136356,-0.406096,0.084000,0
175,0,0,0.0,0.152731,-0.376934,0.087500,1
