trial,is_good,action_approach,reward,p_approach,valence,kc_active_frac,correct
1,0,1,-1.0,1.000000,1.500000,0.088500,0
2,1,1,1.0,1.000000,0.833333,0.076500,1
3,0,1,-1.0,1.000000,1.166667,0.078500,0
4,0,0,0.0,0.000000,-0.166667,0.072500,1
5,1,1,1.0,1.000000,1.500000,0.072500,1
6,1,1,1.0,1.000000,2.833333,0.087500,1
7,0,1,-1.0,1.000000,0.666667,0.073500,0
8,0,1,-1.0,1.000000,0.333333,0.096000,0
9,0,0,0.0,0.000000,-0.666667,0.089000,1
10,1,1,1.0,1.000000,2.833333,0.071500,1
11,1,1,1.0,1.000000,3.833333,0.077000,1
12,0,0,0.0,0.000000,-0.500000,0.074000,1
13,0,0,0.0,0.000000,-0.333333,0.086500,1
14,1,1,1.0,1.000000,3.500000,0.075500,1
15,1,1,1.0,1.000000,4.166667,0.081000,1
16,0,1,0.0,1.000000,0.166667,0.081000,0
17,0,1,-1.0,1.000000,0.000000,0.073000,0
18,1,1,1.0,1.000000,3.666667,0.086500,1
19,0,1,-1.0,1.000000,0.000000,0.077000,0
20,1,1,1.0,1.000000,5.666667,0.076500,1
21,0,0,0.0,0.000000,-2.000000,0.086000,1
22,1,1,0.0,1.000000,4.833333,0.082500,1
23,0,0,0.0,0.000000,-2.833333,0.072000,1
24,1,1,1.0,1.000000,5.666667,0.088500,1
25,0,0,0.0,0.000000,-0.500000,0.084000,1
26,1,1,1.0,1.000000,6.500000,0.083000,1
27,0,0,0.0,0.000000,-0.833333,0.080000,1
28,1,1,0.0,1.000000,6.500000,0.075000,1
29,0,0,0.0,0.000000,-0.833333,0.079000,1
30,0,0,0.0,0.000000,-0.500000,0.082500,1
31,0,1,-1.0,1.000000,0.000000,0.082000,0
32,0,0,0.0,0.000000,-3.000000,0.076000,1
33,1,1,1.0,1.000000,6.500000,0.073500,1
34,1,1,1.0,1.000000,6.166667,0.091000,1
35,0,1,0.0,1.000000,0.000000,0.080500,0
36,0,0,0.0,0.000000,-0.833333,0.080500,1
37,1,1,1.0,1.000000,5.166667,0.087000,1
38,1,1,1.0,1.000000,7.166667,0.084500,1
39,1,1,1.0,1.000000,6.000000,0.084000,1
40,0,0,0.0,0.000000,-0.333333,0.078500,1
41,1,1,0.0,1.000000,6.666667,0.074500,1
42,0,0,0.0,0.000000,-0.166667,0.079500,1
43,0,1,-1.0,1.000000,0.166667,0.085500,0
44,1,1,1.0,1.000000,6.333333,0.081500,1
45,1,1,1.0,1.000000,6.000000,0.077500,1
46,1,1,1.0,1.000000,6.166667,0.078000,1
47,1,1,1.0,1.000000,6.333333,0.083000,1
48,1,1,1.0,1.000000,7.000000,0.082000,1
49,1,1,1.0,1.000000,6.333333,0.074500,1
50,1,1,1.0,1.000000,6.500000,0.075500,1
51,1,1,1.0,1.000000,6.166667,0.089000,1
52,1,1,1.0,1.000000,6.666667,0.077000,1
53,1,1,1.0,1.000000,6.500000,0.078000,1
54,1,1,1.0,1.000000,6.833333,0.078500,1
55,1,1,1.0,1.000000,6.833333,0.067500,1
56,0,1,-1.0,1.000000,0.000000,0.086500,0
57,1,1,1.0,1.000000,6.500000,0.074000,1
58,1,1,1.0,1.000000,6.500000,0.087000,1
59,1,1,1.0,1.000000,7.000000,0.078500,1
60,1,1,1.0,1.000000,6.166667,0.071500,1
61,0,0,0.0,0.000000,-0.333333,0.076500,1
62,1,1,1.0,1.000000,6.500000,0.075500,1
63,0,0,0.0,0.000000,-0.166667,0.087000,1
64,0,0,0.0,0.000000,-1.500000,0.075000,1
65,0,0,0.0,0.000000,-0.166667,0.080000,1
66,1,1,1.0,1.000000,7.000000,0.080000,1
67,0,1,0.0,1.000000,0.666667,0.085000,0
68,0,0,0.0,0.000000,-1.500000,0.077500,1
69,0,0,0.0,0.000000,-0.666667,0.082500,1
70,1,1,1.0,1.000000,6.666667,0.091000,1
71,1,1,1.0,1.000000,7.166667,0.078500,1
72,1,1,1.0,1.000000,6.333333,0.076000,1
73,0,0,0.0,0.000000,-0.500000,0.080000,1
74,1,1,1.0,1.000000,7.000000,0.075000,1
75,0,0,0.0,0.000000,-0.833333,0.084500,1
76,1,1,1.0,1.000000,6.666667,0.083500,1
77,0,0,0.0,0.000000,-0.333333,0.075500,1
78,0,1,-1.0,1.000000,0.500000,0.070500,0
79,1,1,1.0,1.000000,6.500000,0.080000,1
80,1,1,1.0,1.000000,6.666667,0.079000,1
81,0,0,0.0,0.000000,-2.666667,0.075000,1
82,1,1,1.0,1.000000,6.666667,0.085000,1
83,0,0,0.0,0.000000,-0.166667,0.090000,1
84,0,0,0.0,0.000000,-1.166667,0.078000,1
