trial,phase,is_a,approach,correct,reward,p_approach,arousal
1,1,1,1,1,1.0,0.608213,0.2500
2,1,1,1,1,1.0,0.592991,0.4854
3,1,1,1,1,1.0,0.596402,0.7072
4,1,0,1,0,-1.0,0.574440,0.9660
5,1,1,1,1,1.0,0.595145,1.0000
6,1,1,0,0,0.0,0.613426,0.9418
7,1,0,1,0,-1.0,0.549710,1.0000
8,1,0,0,1,0.0,0.511340,0.9418
9,1,0,1,0,-1.0,0.510108,1.0000
10,1,1,1,1,1.0,0.616354,1.0000
11,1,0,1,0,-1.0,0.480594,1.0000
12,1,1,0,0,0.0,0.627257,0.9418
13,1,1,1,1,1.0,0.625405,1.0000
14,1,1,1,1,1.0,0.641821,1.0000
15,1,1,0,0,0.0,0.646568,0.9418
16,1,1,1,1,1.0,0.654752,1.0000
17,1,0,0,1,0.0,0.456237,0.9418
18,1,1,1,1,1.0,0.661219,1.0000
19,1,0,1,0,-1.0,0.429954,1.0000
20,1,0,1,0,-1.0,0.433856,1.0000
21,1,1,0,0,0.0,0.666409,0.9418
22,1,0,0,1,0.0,0.394391,0.8869
23,1,0,0,1,0.0,0.367470,0.8352
24,1,1,1,1,1.0,0.681774,1.0000
25,1,0,0,1,0.0,0.385509,0.9418
26,1,1,1,1,1.0,0.693113,1.0000
27,1,0,1,0,-1.0,0.396559,1.0000
28,1,1,1,1,1.0,0.679768,1.0000
29,1,0,0,1,0.0,0.374655,0.9418
30,1,1,1,1,1.0,0.694817,1.0000
31,1,1,1,1,1.0,0.671543,1.0000
32,1,0,0,1,0.0,0.360927,0.9418
33,1,0,0,1,0.0,0.380099,0.8869
34,1,1,1,1,1.0,0.715168,1.0000
35,1,0,0,1,0.0,0.357040,0.9418
36,1,0,0,1,0.0,0.349010,0.8869
37,1,0,0,1,0.0,0.364500,0.8352
38,1,1,1,1,1.0,0.707583,1.0000
39,1,0,1,0,-1.0,0.398129,1.0000
40,1,0,0,1,0.0,0.340336,0.9418
41,1,1,1,1,1.0,0.693679,1.0000
42,1,0,0,1,0.0,0.334269,0.9418
43,1,1,0,0,0.0,0.696085,0.8869
44,1,0,1,0,-1.0,0.335861,1.0000
45,1,0,0,1,0.0,0.335593,0.9418
46,1,0,1,0,-1.0,0.314338,1.0000
47,1,0,0,1,0.0,0.312907,0.9418
48,1,0,1,0,-1.0,0.306987,1.0000
49,1,1,0,0,0.0,0.704762,0.9418
50,1,0,1,0,0.0,0.277595,0.8869
51,1,1,1,1,1.0,0.704844,1.0000
52,1,0,1,0,-1.0,0.287349,1.0000
53,1,0,0,1,0.0,0.291207,0.9418
54,1,1,1,1,0.0,0.688463,0.8869
55,1,1,1,1,0.0,0.716508,0.8352
56,1,0,0,1,0.0,0.292980,0.7866
57,1,0,0,1,0.0,0.298887,0.7408
58,1,0,0,1,0.0,0.270581,0.6976
59,1,1,0,0,0.0,0.707787,0.6570
60,1,0,0,1,0.0,0.259677,0.6187
61,1,1,0,0,0.0,0.736402,0.5827
62,1,0,1,0,-1.0,0.230185,0.8487
63,1,0,0,1,0.0,0.276792,0.7993
64,1,0,0,1,0.0,0.286043,0.7528
65,1,0,0,1,0.0,0.252649,0.7089
66,1,1,1,1,1.0,0.701497,0.9176
67,1,0,1,0,-1.0,0.281342,1.0000
68,1,0,1,0,-1.0,0.284635,1.0000
69,1,0,0,1,0.0,0.263276,0.9418
70,1,1,1,1,1.0,0.706207,1.0000
71,1,0,0,1,0.0,0.277299,0.9418
72,1,0,1,0,-1.0,0.255674,1.0000
73,1,0,1,0,-1.0,0.266848,1.0000
74,1,0,0,1,0.0,0.250193,0.9418
75,1,1,0,0,0.0,0.706775,0.8869
76,1,1,0,0,0.0,0.702214,0.8352
77,1,1,0,0,0.0,0.720914,0.7866
78,1,0,0,1,0.0,0.242101,0.7408
79,1,1,0,0,0.0,0.730233,0.6976
80,1,0,1,0,0.0,0.218133,0.6570
81,1,0,1,0,-1.0,0.208142,0.9187
82,1,0,1,0,-1.0,0.217779,1.0000
83,1,1,0,0,0.0,0.707531,0.9418
84,1,0,0,1,0.0,0.247276,0.8869
85,1,1,0,0,0.0,0.689353,0.8352
86,1,1,1,1,1.0,0.703508,1.0000
87,1,0,0,1,0.0,0.230526,0.9418
88,1,0,0,1,0.0,0.231492,0.8869
89,1,0,0,1,0.0,0.223083,0.8352
90,1,1,0,0,0.0,0.724676,0.7866
91,1,1,1,1,0.0,0.714590,0.7408
92,1,1,1,1,1.0,0.720942,0.9476
93,1,0,0,1,0.0,0.260703,0.8924
94,1,1,1,1,1.0,0.723637,1.0000
95,1,0,0,1,0.0,0.248340,0.9418
96,1,0,1,0,-1.0,0.235010,1.0000
97,1,1,0,0,0.0,0.707285,0.9418
98,1,0,0,1,0.0,0.221047,0.8869
99,1,0,1,0,-1.0,0.231472,1.0000
100,1,1,0,0,0.0,0.705288,0.9418
1,2,1,1,0,-1.0,0.772755,0.4978
2,2,1,1,0,0.0,0.694511,0.4688
3,2,1,1,0,-1.0,0.717593,0.7415
4,2,0,0,0,0.0,0.203372,0.6983
5,2,0,1,1,1.0,0.195682,0.9077
6,2,0,0,0,0.0,0.257075,0.8548
7,2,0,0,0,0.0,0.250172,0.8050
8,2,1,1,0,-1.0,0.656730,1.0000
9,2,0,1,1,1.0,0.281322,1.0000
10,2,1,1,0,-1.0,0.624134,1.0000
11,2,1,1,0,0.0,0.595515,0.9418
12,2,1,1,0,-1.0,0.589055,1.0000
13,2,1,0,1,0.0,0.562926,0.9418
14,2,0,0,0,0.0,0.280021,0.8869
15,2,0,0,0,0.0,0.279724,0.8352
16,2,1,1,0,-1.0,0.572336,1.0000
17,2,1,1,0,0.0,0.487145,0.9418
18,2,0,1,1,0.0,0.282292,0.8869
19,2,0,0,0,0.0,0.268414,0.8352
20,2,1,1,0,-1.0,0.523545,1.0000
21,2,1,0,1,0.0,0.488480,0.9418
22,2,0,1,1,1.0,0.260873,1.0000
23,2,0,0,0,0.0,0.332011,0.9418
24,2,1,0,1,0.0,0.459238,0.8869
25,2,1,0,1,0.0,0.458899,0.8352
26,2,0,0,0,0.0,0.317049,0.7866
27,2,0,0,0,0.0,0.315198,0.7408
28,2,0,0,0,0.0,0.320934,0.6976
29,2,0,1,1,1.0,0.302125,0.9070
30,2,1,0,1,0.0,0.482018,0.8542
31,2,1,1,0,-1.0,0.479704,1.0000
32,2,1,1,0,-1.0,0.424901,1.0000
33,2,1,1,0,-1.0,0.402071,1.0000
34,2,0,1,1,1.0,0.359748,1.0000
35,2,1,0,1,0.0,0.354009,0.9418
36,2,1,1,0,-1.0,0.367981,1.0000
37,2,0,1,1,0.0,0.397113,0.9418
38,2,1,0,1,0.0,0.359411,0.8869
