delay_ms,n,p_appr_trace_A,p_appr_trace_B,acc_trace,p_appr_count_A,p_appr_count_B,acc_count,trace_valence_A,trace_valence_B,trace_active_A
0,24,1.0000,1.0000,0.5000,1.0000,1.0000,0.5000,0.4415,0.0908,0.0797
500,24,1.0000,1.0000,0.5000,1.0000,1.0000,0.5000,0.4447,0.0923,0.0797
1000,24,1.0000,1.0000,0.5000,1.0000,1.0000,0.5000,0.4405,0.0980,0.0814
2000,24,1.0000,1.0000,0.5000,1.0000,1.0000,0.5000,0.0000,0.0217,0.0000
4000,24,1.0000,1.0000,0.5000,1.0000,1.0000,0.5000,0.0000,0.0000,0.0000
